G701K        G140KR103502GF6209012421496300009862.00000500000020250910000000004931000000.000000002.86600000009855.0000009862.0000009855.00000002.875000000002.866000000002.875000000000010000000000000009859700000.0002025091100009896.0000009848.00000000003000000000000001000000000002.826000000002.88300000009897.0000009844.00000000005000000000000004000000000002.824000000002.88800000009916.0000009841.00000000002000000000000005000000000002.802000000002.89100000000000.0000000000.00000000000000000000000000000000000000.000000000000.00000000000000.0000000000.00000000000000000000000000000000000000.000000000000.000000000000010000000000000010000000?
G701K        G140KR103502GF6209043604920900009885.00000100000020250910000000000988500000.000000002.83900000009855.0000009885.0000009855.00000002.875000000002.839000000002.875000000000011000000000000010848200000.0002025091100009896.0000009884.00000000006000000000000002000000000002.826000000002.84000000009897.0000009883.00000000007000000000000001000000000002.824000000002.84100000009898.0000009880.00000000002000000000000002000000000002.823000000002.84500000009900.0000009878.00000000002000000000000005000000000002.821000000002.84700000009901.0000009877.00000000002000000000000009000000000002.820000000002.848000000000022000000000000032000000?
G701K        G140KR103502GF9609045535712800009746.00000100000020250910000000000974600000.000000002.75000000009746.0000009746.0000009746.00000002.750000000002.750000000002.750000000000001000000000000000974600000.0002025091100009755.0000009725.00000000001000000000000001000000000002.745000000002.76000000009756.0000009716.00000000003000000000000004000000000002.745000000002.76500000009765.0000009712.00000000001000000000000004000000000002.740000000002.76700000009777.0000009708.00000000005000000000000005000000000002.734000000002.76900000009805.0000009704.00000000003000000000000005000000000002.720000000002.771000000000022000000000000022000000?
G701K        G140KR103502GF9609052437483500009755.00000100000020250910000000000975500000.000000002.74500000009746.0000009755.0000009746.00000002.750000000002.745000000002.750000000000002000000000000001950100000.0002025091100009756.0000009745.00000000002000000000000001000000000002.745000000002.75000000009764.0000009742.00000000001000000000000001000000000002.741000000002.75200000009765.0000009739.00000000001000000000000001000000000002.740000000002.75300000009773.0000009736.00000000001000000000000001000000000002.736000000002.75500000009777.0000009720.00000000005000000000000001000000000002.734000000002.763000000000022000000000000041000000?
G701K        G140KR103502GF9609053751541900009756.00000100000020250910000000000975600000.000000002.74500000009746.0000009756.0000009746.00000002.750000000002.745000000002.750000000000003000000000000002925700000.0002025091100009756.0000009745.00000000001000000000000002000000000002.745000000002.75000000009764.0000009742.00000000001000000000000001000000000002.741000000002.75200000009765.0000009739.00000000001000000000000001000000000002.740000000002.75300000009773.0000009736.00000000001000000000000001000000000002.736000000002.75500000009777.0000009733.00000000005000000000000001000000000002.734000000002.756000000000021000000000000049000000?
G701K        G140KR103502GF9609054902909600009764.00000100000020250910000000000976400000.000000002.74100000009746.0000009764.0000009746.00000002.750000000002.741000000002.750000000000006000000000000005853200000.0002025091100009765.0000009745.00000000001000000000000002000000000002.740000000002.75000000009773.0000009742.00000000001000000000000001000000000002.736000000002.75200000009777.0000009740.00000000005000000000000001000000000002.734000000002.75300000009805.0000009739.00000000003000000000000001000000000002.720000000002.75300000009940.0000009736.00000000001000000000000001000000000002.654000000002.755000000000019000000000000049000000?
G701K        G140KR103502GF6209055254733800009896.00000100000020250910000000000989600000.000000002.82600000009855.0000009896.0000009855.00000002.875000000002.826000000002.875000000000012000000000000011837800000.0002025091100009896.0000009893.00000000005000000000000001000000000002.826000000002.82900000009897.0000009889.00000000007000000000000004000000000002.824000000002.83400000009898.0000009888.00000000002000000000000003000000000002.823000000002.83500000009900.0000009887.00000000003000000000000003000000000002.821000000002.83600000009901.0000009886.00000000002000000000000012000000000002.820000000002.837000000000032000000000000052000000?
G701K        G140KR103502GF6209060294168500009896.00000500000020250910000000004948000000.000000002.82600000009855.0000009896.0000009855.00000002.875000000002.826000000002.875000000000017000000000000016785800000.0002025091100009897.0000009893.00000000007000000000000002000000000002.824000000002.82900000009898.0000009889.00000000002000000000000004000000000002.823000000002.83400000009900.0000009888.00000000003000000000000002000000000002.821000000002.83500000009901.0000009887.00000000002000000000000002000000000002.820000000002.83600000009903.0000009886.00000000004000000000000012000000000002.817000000002.837000000000027000000000000052000000?
G701K        G140KR103502GF6209063159262200009896.00000100000020250910000000000989600000.000000002.82600000009855.0000009896.0000009855.00000002.875000000002.826000000002.875000000000018000000000000017775400000.0002025091100009896.0000009892.00000000001000000000000002000000000002.826000000002.83000000009897.0000009891.00000000007000000000000001000000000002.824000000002.83200000009898.0000009889.00000000001000000000000001000000000002.823000000002.83400000009899.0000009888.00000000001000000000000006000000000002.822000000002.83500000009900.0000009887.00000000002000000000000011000000000002.821000000002.836000000000037000000000000063000000?
G701K        G140KR103502GF6209063461123700009896.00000100000020250910000000000989600000.000000002.82600000009855.0000009896.0000009855.00000002.875000000002.826000000002.875000000000019000000000000018765000000.0002025091100009897.0000009893.00000000007000000000000005000000000002.824000000002.82900000009898.0000009892.00000000005000000000000001000000000002.823000000002.83000000009900.0000009889.00000000002000000000000001000000000002.821000000002.83400000009901.0000009888.00000000002000000000000002000000000002.820000000002.83500000009903.0000009887.00000000001000000000000002000000000002.817000000002.836000000000021000000000000048000000?
