00000000001TTRMIP3130101KTSG1AB110300000000031BS40                           00                                                                                                                         
00000000002TTRMIP3130101KTSR1AB110300000000031BS40                           00                                                                                                                         
00000000003TTRMIP3130101KTSS1AB110300000000031BS40                           00                                                                                                                         
00000000004TTRMIP3130101KTSWSAB110300000000031BS40                           00                                                                                                                         
00000000005TTRMIP3130101KTSALAE814500000000031SH90                           00                                                                                                                         
00000000006TTRMIP3130101KTSALBE915000000000004SR40                           00                                                                                                                         
00000000007TTRMIP3130101KTSR1AB217000000000031BE99                           00                                                                                                                         
00000000008TTRMIP3130101KTSG1AB217000000000031BE99                           00                                                                                                                         
00000000009TTRMIP3130101KTSS1AB217300000000031BE99                           00                                                                                                                         
00000000010TTRMIP3130101KTSWSAB217300000000031BE99                           00                                                                                                                         
00000000011TCHEDP9900101010000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020251215173500179                                               
