00000000001TTRTDP4231101KTSG100501900120000000005          KR103503GE6200000000001000000.89900000009910.00000100000040202511171313245132              3000200000000009910.00000000.89900030     004000      00801001711515324F5AAE501E1 0501012P-00000000000050000000000011501012   G1KR103503GE62XX0001220251118000000000002                                                                                   
00000000002TTRTDP4231101KTSG100501900120000000003          KR103503GE6200000000002000000.89900000009910.00000100000040202511171313245131              1000100000000009910.00000000.89900030     16400000000000801001711515324F5AAE501E130501012P-00000000000030000000002121501012   G1KR103503GE62XX0001220251118000000000022                                                                                   
00000000003TTRTDP4231101KTSG100501900120000000005          KR103503GE6200000000002000000.89900000009910.00000100000040202511171313245132              3000200000000009910.00000000.89900030     004000      00801001711515324F5AAE501E1 0501012P-00000000000050000000000011501012   G1KR103503GE62XX0001220251118000000000002                                                                                   
00000000004TTRTDP4231101KTSG100501900120000000008          KR103503GE6200000000003000000.89900000009910.0000010000004020251117131410164101            3000100000000009910.00000000.89900030     004000      00801001711515324F5AAE501E1 0501012P-00000000000080000000000011501012   G1KR103503GE62XX0001220251118000000000001                                                                                   
