00000000001TTRMIP3130101KTSG1AB110300000000031BS40                           00                                                                                                                         
00000000002TTRMIP3130101KTSR1AB110300000000031BS40                           00                                                                                                                         
00000000003TTRMIP3130101KTSS1AB110300000000031BS40                           00                                                                                                                         
00000000004TTRMIP3130101KTSWSAB110300000000031BS40                           00                                                                                                                         
00000000005TTRMIP3130101KTSALEI814000000000000SH90KR103502G990           B90100                                                                                                                         
00000000006TTRMIP3130101KTSALEI914150000000000SR40KR103502G990           B90100                                                                                                                         
00000000007TTRMIP3130101KTSALEH815351700000000    KR103502GEC4               00                                                                                                                         
00000000008TTRMIP3130101KTSALEH915362300000000    KR103502GEC4               00                                                                                                                         
00000000009TTRMIP3130101KTSR1AB216000000000031BE99                           00                                                                                                                         
00000000010TTRMIP3130101KTSG1AB216000000000031BE99                           00                                                                                                                         
00000000011TTRMIP3130101KTSS1AB216300000000031BE99                           00                                                                                                                         
00000000012TTRMIP3130101KTSWSAB216300000000031BE99                           00                                                                                                                         
00000000013TCHEDP9900101010000000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020251217163500498                                               
