00000000001TTRMIP3130101KTSS1AB111300000000031BS40                           00                                                                                                                         
00000000002TTRMIP3130101KTSG1AB112000000000031BS40                           00                                                                                                                         
00000000003TTRMIP3130101KTSR1AB112000000000031BS40                           00                                                                                                                         
00000000004TTRMIP3130101KTSWSAB112000000000031BS40                           00                                                                                                                         
00000000005TTRMIP3130101KTSALAH815400100000031                               00                                                                                                                         
00000000006TTRMIP3130101KTSALAE815450000000031SH90                           00                                                                                                                         
00000000007TTRMIP3130101KTSALBE915550000000004SR40                           00                                                                                                                         
00000000008TTRMIP3130101KTSALAH915550400000031                               00                                                                                                                         
00000000009TTRMIP3130101KTSR1AB216030000000031BE99                           00                                                                                                                         
00000000010TTRMIP3130101KTSG1AB216030000000031BE99                           00                                                                                                                         
00000000011TTRMIP3130101KTSS1AB216330000000031BE99                           00                                                                                                                         
00000000012TTRMIP3130101KTSWSAB216330000000031BE99                           00                                                                                                                         
00000000013TCHEDP9900101010000000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020251128163800423                                               
